candidate_start_index,candidate_ts,candidate_all_pass,start_index,ts,m,n,admissible,mean_p,mean_z,dispersion_p,dispersion_z,pass,note
99,99000.0,False,99,99000.0,2,842,True,4.443451369274222e-83,-19.309793545557287,0.13031331266626028,-1.5128675239438663,False,
99,99000.0,False,99,99000.0,5,337,True,3.0441035864761357e-38,-12.93010310454725,0.00020045777437846697,-3.7184388862944138,False,
99,99000.0,False,99,99000.0,10,168,True,2.708997724336885e-20,-9.229894031623246,2.466409300380388e-05,-4.217851708610713,False,
99,99000.0,False,99,99000.0,20,84,True,7.42362883400881e-12,-6.849253611095206,0.00017609018501693315,-3.7510576742095005,False,
99,99000.0,False,99,99000.0,25,67,True,2.109805193474427e-10,-6.353127631639682,6.214174979150043e-05,-4.0045267865531216,False,
110,110000.0,False,110,110000.0,2,837,True,8.861838703335365e-82,-19.154591216741387,0.012231312254389767,-2.5053995878361888,False,
110,110000.0,False,110,110000.0,5,334,True,5.159198282571387e-37,-12.710667774403035,0.0001638595136260524,-3.769066069215344,False,
110,110000.0,False,110,110000.0,10,167,True,5.653656503884889e-20,-9.150755862619347,0.00031022980640290227,-3.6066046246197847,False,
110,110000.0,False,110,110000.0,20,83,True,9.661419393604222e-12,-6.811458464040543,1.7506987584669738e-05,-4.294522311046347,False,
110,110000.0,False,110,110000.0,25,66,True,9.984930328777971e-10,-6.109650907342091,0.0025142527238099788,-3.021620829174621,False,
121,121000.0,False,121,121000.0,2,831,True,9.181568961809219e-77,-18.543626898599467,0.4513140313341283,-0.7532261442152732,False,
121,121000.0,False,121,121000.0,5,332,True,7.152324370056023e-36,-12.503402455639291,0.0016356248849151633,-3.1494778831827173,False,
121,121000.0,False,121,121000.0,10,166,True,1.4064780049364346e-19,-9.051786724480243,0.0003047613696911858,-3.6112188320743455,False,
121,121000.0,False,121,121000.0,20,83,True,5.988117480248277e-11,-6.54403399778491,0.0015674282014622014,-3.161901042198959,False,
121,121000.0,False,121,121000.0,25,66,True,7.048672695089529e-10,-6.164991948169464,3.480486515257011e-05,-4.139509853887576,False,
132,132000.0,False,132,132000.0,2,826,True,1.7601991606965617e-75,-18.384136547498244,0.011075562531294767,-2.5403056654556386,False,
132,132000.0,False,132,132000.0,5,330,True,1.5396908962580668e-34,-12.257068849688752,0.000798345220222006,-3.3533678668123534,False,
132,132000.0,False,132,132000.0,10,165,True,2.8405772851249053e-19,-8.974726070757823,0.00034653560460183006,-3.5777719412237574,False,
132,132000.0,False,132,132000.0,20,82,True,1.3844891171727742e-11,-6.759520770973514,7.570592245116736e-06,-4.4769811741400405,False,
132,132000.0,False,132,132000.0,25,66,True,1.6538667838353774e-08,-5.644786164392149,0.007643195178585289,-2.6674381678794274,False,
143,143000.0,False,143,143000.0,2,820,True,1.4511865471446276e-70,-17.759657002646854,0.6688411507471435,-0.4277390023637067,False,
143,143000.0,False,143,143000.0,5,328,True,7.934065432774237e-33,-11.933324202018529,0.003186045601345178,-2.9491933688474625,False,
143,143000.0,False,143,143000.0,10,164,True,3.367438707936689e-18,-8.698350229494112,0.0001830913968249642,-3.741271776001146,False,
143,143000.0,False,143,143000.0,20,82,True,1.1395550190812121e-10,-6.447173247196302,0.006013278785839276,-2.7470564270662505,False,
143,143000.0,False,143,143000.0,25,65,True,2.3327101323565274e-09,-5.972761355112743,0.000284578667516896,-3.6289478944334297,False,
154,154000.0,False,154,154000.0,2,815,True,2.659943874358559e-69,-17.595648280083118,0.013491396888202448,-2.4705274376999347,False,
154,154000.0,False,154,154000.0,5,326,True,8.184685951496379e-32,-11.737524828401364,0.027818785379139774,-2.1998324411950567,False,
154,154000.0,False,154,154000.0,10,163,True,4.752128237272594e-18,-8.659169722334973,0.00014300241214772945,-3.8029167656923564,False,
154,154000.0,False,154,154000.0,20,81,True,8.199104458368913e-11,-6.496901610685062,1.567146902878909e-05,-4.319032520850898,False,
154,154000.0,False,154,154000.0,25,65,True,3.180958404636835e-08,-5.53117331179635,0.003423191691160849,-2.92693613326378,False,
165,165000.0,False,165,165000.0,2,809,True,1.7058590320505792e-64,-16.957090064825618,0.7253633871096116,-0.35129987713322547,False,
165,165000.0,False,165,165000.0,5,323,True,1.257015126391943e-30,-11.504163953747812,0.018976121185182607,-2.3459997306181672,False,
165,165000.0,False,165,165000.0,10,161,True,7.784703845533121e-18,-8.602722501337036,0.0004244239470060822,-3.5244118862741876,False,
165,165000.0,False,165,165000.0,20,80,True,9.877810576431852e-11,-6.468809382075968,0.008540965872983891,-2.6299013094759713,False,
165,165000.0,False,165,165000.0,25,64,True,4.089634835720274e-09,-5.880526515990142,0.0006169964801595113,-3.424030710295738,False,
176,176000.0,False,176,176000.0,2,804,True,2.997962753739855e-63,-16.7877912375851,0.01343339507718926,-2.472068028602741,False,
176,176000.0,False,176,176000.0,5,321,True,1.568227793424385e-29,-11.284335156254253,0.024462325068098645,-2.249789276414109,False,
176,176000.0,False,176,176000.0,10,160,True,3.138989866301603e-17,-8.44127339426291,0.0020540990237242927,-3.0822968223414122,False,
176,176000.0,False,176,176000.0,20,80,True,9.869379773919556e-10,-6.1115084142798635,0.0006473035121966804,-3.4109778437279186,False,
176,176000.0,False,176,176000.0,25,64,True,4.6713804509260654e-08,-5.4633857187967525,0.00461016667093739,-2.833081247605103,False,
187,187000.0,False,187,187000.0,2,798,True,1.4523463491638973e-58,-16.134818190915496,0.7045450745515667,-0.37919229263552084,False,
187,187000.0,False,187,187000.0,5,319,True,2.9516391002542328e-28,-11.023262313178378,0.016223301832961876,-2.4038528567053117,False,
187,187000.0,False,187,187000.0,10,159,True,2.916244412671585e-16,-8.176740785333356,0.009976537704010717,-2.576641449658781,False,
187,187000.0,False,187,187000.0,20,79,True,7.495705605345067e-10,-6.1552544371001385,0.015458223272175256,-2.421461855585474,False,
187,187000.0,False,187,187000.0,25,63,True,4.539506633925114e-08,-5.468464615598158,0.02819925747131614,-2.1945031537649875,False,
198,198000.0,False,198,198000.0,2,793,True,2.398416237088216e-57,-15.96074748966172,0.01847884132254051,-2.3558808994864755,False,
198,198000.0,False,198,198000.0,5,317,True,1.2552364286032866e-26,-10.680551550460239,0.05377293132718447,-1.9286612377252315,False,
198,198000.0,False,198,198000.0,10,158,True,2.9403926641238307e-15,-7.8934101550482225,0.010867200919867774,-2.5469403433622264,False,
198,198000.0,False,198,198000.0,20,79,True,6.989008617836521e-09,-5.791188493777847,0.005344065748090224,-2.785527798907766,False,
198,198000.0,False,198,198000.0,25,63,True,2.832289265088267e-08,-5.551499870064942,0.0018842757986000183,-3.107890952899604,False,
209,209000.0,False,209,209000.0,2,787,True,8.654577828540065e-53,-15.291930766872643,0.875942444370789,-0.15611491204218117,False,
209,209000.0,False,209,209000.0,5,315,True,1.157809657359419e-25,-10.472311299253446,0.11575877749093035,-1.5728274510380649,False,
209,209000.0,False,209,209000.0,10,157,True,5.967055351194263e-14,-7.50880275142328,0.04463104827713574,-2.008115229458864,False,
209,209000.0,False,209,209000.0,20,78,True,7.036071399795864e-09,-5.790061363503289,0.002253103507998452,-3.0546672469152973,False,
209,209000.0,False,209,209000.0,25,63,True,1.0227091699806976e-06,-4.8872178343306745,0.17628306423063378,-1.3522884298876139,False,
220,220000.0,False,220,220000.0,2,782,True,1.3166535647732864e-51,-15.1136379860098,0.04168593016696023,-2.0366420051154908,False,
220,220000.0,False,220,220000.0,5,312,True,1.5604158155863e-24,-10.223236864508985,0.12932066766638464,-1.516786218463405,False,
220,220000.0,False,220,220000.0,10,156,True,1.184930598636187e-13,-7.41845652368198,0.11624470533183491,-1.570732893363774,False,
220,220000.0,False,220,220000.0,20,78,True,1.753233547919196e-08,-5.634739300100817,0.05651932124854671,-1.907009778441471,False,
220,220000.0,False,220,220000.0,25,62,True,1.9991779025351274e-07,-5.199414007125031,0.00042674379160318295,-3.5229674347342503,False,
231,231000.0,False,231,231000.0,2,776,True,3.407315596017158e-47,-14.428846586151831,0.9817485925551345,-0.022876742225975577,False,
231,231000.0,False,231,231000.0,5,310,True,1.697055478454138e-23,-9.989341376373622,0.1364230705822248,-1.489244218807265,False,
231,231000.0,False,231,231000.0,10,155,True,2.751749472076412e-13,-7.306018185688207,0.13745367000662814,-1.4853404189455057,False,
231,231000.0,False,231,231000.0,20,77,True,3.226643483308405e-08,-5.52867179725681,0.009828477082181484,-2.581806161487468,False,
231,231000.0,False,231,231000.0,25,62,True,2.742870966972425e-06,-4.689191137266968,0.09129712016002144,-1.6885947359588303,False,
242,242000.0,False,242,242000.0,2,771,True,4.836987447205162e-46,-14.244688676234578,0.014511478703011702,-2.4443465777597613,False,
242,242000.0,False,242,242000.0,5,308,True,2.685210950934455e-22,-9.711811736915127,0.07169225442239395,-1.8010674180596833,False,
242,242000.0,False,242,242000.0,10,154,True,5.286672848216864e-13,-7.21771922259171,0.05665308554489678,-1.9059778033683736,False,
242,242000.0,False,242,242000.0,20,77,True,1.619891451150608e-07,-5.238383540598935,0.35796683923502437,-0.9192461460832724,False,
242,242000.0,False,242,242000.0,25,61,True,7.061556296543249e-07,-4.959663031896159,0.014460913966659775,-2.445605484987692,False,
253,253000.0,False,253,253000.0,2,765,True,8.724255903529396e-42,-13.542926650626146,0.5770760626873115,0.5576607526698302,False,
253,253000.0,False,253,253000.0,5,306,True,8.837057193558167e-21,-9.349131248880127,0.1078466332268832,-1.607947701936326,False,
253,253000.0,False,253,253000.0,10,153,True,4.9091917820769545e-12,-6.908177594915788,0.02082514694328432,-2.311139569890758,False,
253,253000.0,False,253,253000.0,20,76,True,7.944757306386105e-08,-5.368378753949824,0.0006640442298659537,-3.4040095858378585,False,
253,253000.0,False,253,253000.0,25,61,True,2.9624106055908657e-06,-4.673408954772918,0.04713225718403963,-1.9851097957024777,False,
264,264000.0,False,264,264000.0,2,760,True,1.0803072035625675e-40,-13.356856540305587,0.02018383122994033,-2.322912914142141,False,
264,264000.0,False,264,264000.0,5,304,True,7.048431997525046e-20,-9.126906851654766,0.32450474305105914,-0.9852429604786617,False,
264,264000.0,False,264,264000.0,10,152,True,6.8121990977489304e-12,-6.861540277090064,0.06959210934458346,-1.8145563908998337,False,
264,264000.0,False,264,264000.0,20,76,True,3.251445384960029e-07,-5.1082568093139935,0.24907078165995644,-1.1526093064035965,False,
264,264000.0,False,264,264000.0,25,60,True,1.4695265353365866e-06,-4.815335671281769,0.02517851962605239,-2.238652742542915,False,
275,275000.0,False,275,275000.0,2,754,True,1.261086351923108e-36,-12.64058718671708,0.48300175436942705,0.7014828169441502,False,
275,275000.0,False,275,275000.0,5,301,True,7.676335201493845e-19,-8.864623018804776,0.13912405721099114,-1.4790608320857925,False,
275,275000.0,False,275,275000.0,10,150,True,1.1027611142112775e-11,-6.792409346704155,0.03300918576198658,-2.131971546142548,False,
275,275000.0,False,275,275000.0,20,75,True,3.0038168487819885e-07,-5.123207365051528,0.020139407306593953,-2.323740483434086,False,
275,275000.0,False,275,275000.0,25,60,True,6.91009044080418e-06,-4.4964392692101285,0.0909990831776179,-1.6901509309796936,False,
286,286000.0,False,286,286000.0,2,749,True,1.360175424623e-35,-12.45221476883218,0.03940851624405992,-2.0598956648319997,False,
286,286000.0,False,286,286000.0,5,299,True,6.996279238768271e-18,-8.614965282680153,0.22906873932104088,-1.2027612105219938,False,
286,286000.0,False,286,286000.0,10,149,True,3.8546291405281144e-11,-6.6095604055061115,0.08691737795799324,-1.711887634204836,False,
286,286000.0,False,286,286000.0,20,74,True,2.1096075829767697e-07,-5.189410598466333,0.31794898785327563,-0.9986815360357871,False,
286,286000.0,False,286,286000.0,25,59,True,1.2517302292579053e-05,-4.368377451386555,0.24441237220841372,-1.1640287220760581,False,
297,297000.0,False,297,297000.0,2,743,True,1.0213279908258476e-31,-11.718779496741448,0.4162189374128903,0.8129984664498625,False,
