candidate_start_index,candidate_ts,candidate_all_pass,start_index,ts,m,n,admissible,mean_p,mean_z,dispersion_p,dispersion_z,pass,note
931,931.0,False,931,931.0,2,9534,True,0.9325333632810249,0.08465790429068465,5.239818605460226e-33,-11.967802299373254,False,
931,931.0,False,931,931.0,5,3813,True,0.38896215602696893,0.8615010265419686,9.930363456501201e-31,-11.524485489116534,False,
931,931.0,False,931,931.0,10,1906,True,0.5103591742689373,0.6582785255825342,1.3432632957281868e-16,-8.269673530514233,False,
931,931.0,False,931,931.0,20,953,True,0.611643488277001,0.5077288853548041,2.001549806416216e-09,-5.997681191780019,False,
931,931.0,False,931,931.0,40,476,True,0.9482574488831461,0.06489519183869095,6.46297481295395e-06,-4.510648467401279,False,
1064,1064.0,False,1064,1064.0,2,9468,True,0.9634511033293951,0.045823280265444875,3.0720584804083705e-30,-11.426804842141408,False,
1064,1064.0,False,1064,1064.0,5,3787,True,0.7614227891996093,0.3036129436756362,5.197312825524034e-30,-11.381045096799134,False,
1064,1064.0,False,1064,1064.0,10,1893,True,0.8180324980273328,0.23007627779638717,2.8739066327684315e-16,-8.178503496582099,False,
1064,1064.0,False,1064,1064.0,20,946,True,0.8047076778120037,0.2472591411308159,2.686785868375889e-09,-5.949673083460257,False,
1064,1064.0,False,1064,1064.0,40,473,True,0.49069999944292264,0.6891958954671419,1.010154423632713e-05,-4.4149883240254635,False,
1197,1197.0,False,1197,1197.0,2,9401,True,0.9391269300793179,0.07636724262049527,1.7661598801541914e-33,-12.057714603910403,False,
1197,1197.0,False,1197,1197.0,5,3760,True,0.5952749914581414,0.5312075069637848,4.238228494930357e-31,-11.597594758176562,False,
1197,1197.0,False,1197,1197.0,10,1880,True,0.8069321550160536,0.24438564939075844,1.2710431191224823e-16,-8.276259996656561,False,
1197,1197.0,False,1197,1197.0,20,940,True,0.9289719461774686,0.08913836713349375,2.0512329328059573e-09,-5.993697089927162,False,
1197,1197.0,False,1197,1197.0,40,470,True,0.9460958595430132,0.06761029548533451,1.0283215246935721e-05,-4.411130843708389,False,
1330,1330.0,False,1330,1330.0,2,9335,True,0.9723431727783641,0.034669636687854735,1.1166317017889143e-25,-10.47573804242928,False,
1330,1330.0,False,1330,1330.0,5,3734,True,0.6261026009512297,0.4872197637457107,1.024012220233682e-25,-10.483927151365924,False,
1330,1330.0,False,1330,1330.0,10,1867,True,0.6699413571627928,0.42622849317718564,6.719633005521669e-14,-7.493235194547739,False,
1330,1330.0,False,1330,1330.0,20,933,True,0.633504504236378,0.47680005827279087,4.8235936967175024e-08,-5.457693497374873,False,
1330,1330.0,False,1330,1330.0,40,466,True,0.6039875170085882,0.5186748296608052,3.575598583367179e-05,-4.133320313060447,False,
1463,1463.0,False,1463,1463.0,2,9268,True,0.9490475327343817,0.06390291306158649,1.1922389232000713e-25,-10.469537644638825,False,
1463,1463.0,False,1463,1463.0,5,3707,True,0.649666445918569,0.45422561843616865,1.1936219294074276e-23,-10.024166699571373,False,
1463,1463.0,False,1463,1463.0,10,1853,True,0.8182904226209424,0.22974435977871321,5.897562558136623e-13,-7.2028296752812775,False,
1463,1463.0,False,1463,1463.0,20,926,True,0.7225210462394118,0.3550914973911331,1.364298196313514e-07,-5.26999184564312,False,
1463,1463.0,False,1463,1463.0,40,463,True,0.6118152463242431,0.507484019557543,7.32513093486954e-05,-3.9654705082725075,False,
1596,1596.0,False,1596,1596.0,2,9202,True,0.9554847402719077,0.05582057970208383,2.5379959577155297e-23,-9.949364157928791,False,
1596,1596.0,False,1596,1596.0,5,3680,True,0.34265882025063743,0.9489248785864413,8.802678310116062e-24,-10.054207544125152,False,
1596,1596.0,False,1596,1596.0,10,1840,True,0.3897892849219188,0.8599995602282164,6.512072984467916e-13,-7.189307567304764,False,
1596,1596.0,False,1596,1596.0,20,920,True,0.5226549373281995,0.6392582597815648,1.660244302661217e-07,-5.233839722960374,False,
1596,1596.0,False,1596,1596.0,40,460,True,0.5200318270918721,0.6432963455861618,0.00016998220704385483,-3.7598986503466794,False,
1729,1729.0,False,1729,1729.0,2,9135,True,0.9170272152284339,0.10417910537550862,2.7573483239769914e-25,-10.38986786694619,False,
1729,1729.0,False,1729,1729.0,5,3654,True,0.7756205426936502,0.28503080331715336,2.3107231297109765e-23,-9.958696533049109,False,
1729,1729.0,False,1729,1729.0,10,1827,True,0.7463863472690366,0.32340790018705284,1.2706759218446629e-12,-7.097463236258918,False,
1729,1729.0,False,1729,1729.0,20,913,True,0.8158757199080184,0.23285278869897022,2.401224013649503e-07,-5.165246391219294,False,
1729,1729.0,False,1729,1729.0,40,456,True,0.7868785678706425,0.27036616455467927,9.649513394499974e-05,-3.899239895403492,False,
1862,1862.0,False,1862,1862.0,2,9069,True,0.9603559990475137,0.04970684830755284,1.493443504129464e-23,-10.002003610983348,False,
1862,1862.0,False,1862,1862.0,5,3627,True,0.42026035480336865,0.8059696400639826,2.035824928955866e-24,-10.197432829761421,False,
1862,1862.0,False,1862,1862.0,10,1813,True,0.5961834499008567,0.5298968505691463,2.367364345858365e-13,-7.32621921609774,False,
1862,1862.0,False,1862,1862.0,20,906,True,0.7367724828071602,0.3361304690539195,8.862281502985756e-08,-5.348629373500237,False,
1862,1862.0,False,1862,1862.0,40,453,True,0.7781341637368344,0.28175136757213565,5.959382703191741e-05,-4.014413366190418,False,
1995,1995.0,False,1995,1995.0,2,9002,True,0.9195646271749724,0.10098215352323382,3.953036346570767e-31,-11.603556090114811,False,
1995,1995.0,False,1995,1995.0,5,3601,True,0.39138015436877027,0.8571171312069252,3.0188037730925373e-28,-11.021237390594141,False,
1995,1995.0,False,1995,1995.0,10,1800,True,0.5756456613689763,0.5597563196250456,2.9795639823426683e-15,-7.891759125685271,False,
1995,1995.0,False,1995,1995.0,20,900,True,0.6426852978940226,0.4639475866763973,8.51212308846556e-09,-5.757990328540643,False,
1995,1995.0,False,1995,1995.0,40,450,True,0.725759756272375,0.3507715316458261,2.4167620274671362e-05,-4.22243584337167,False,
2128,2128.0,False,2128,2128.0,2,8936,True,0.9734416437786125,0.0332921122610182,1.242561979587112e-25,-10.465623182566294,False,
2128,2128.0,False,2128,2128.0,5,3574,True,0.6261399649677888,0.48716703408210826,1.4506730531522792e-26,-10.667110674865055,False,
2128,2128.0,False,2128,2128.0,10,1787,True,0.7201776585128845,0.3582213666799682,2.7599466856540847e-14,-7.609107713646903,False,
2128,2128.0,False,2128,2128.0,20,893,True,0.7896429770543416,0.2667742557355291,2.8691163249770178e-08,-5.54924149730625,False,
2128,2128.0,False,2128,2128.0,40,446,True,0.7046686542426516,0.3790258685236376,2.897609700897156e-05,-4.181367593192815,False,
2261,2261.0,False,2261,2261.0,2,8869,True,0.9417058731503172,0.07312597346344081,9.277701237968314e-30,-11.330402876296711,False,
